[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
47.763,25.9282,47.763,34.11607,47.763,26.98584,47.764,12.97727
47.923,26.3305,47.923,34.32143,47.923,26.94337,47.923,12.9495
48.083,26.2184,48.083,34.35179,48.083,27.0313,48.083,12.98737
48.243,26.1264,48.243,34.21071,48.243,27.11475,48.243,12.7197
48.402,26.3161,48.402,34.175,48.402,26.81297,48.402,12.79798
48.562,26.2011,48.562,34.00714,48.562,27.08197,48.562,12.80808
48.722,26.3161,48.722,34.06071,48.722,27.03353,48.722,13.01263
48.882,25.9655,48.882,33.86071,48.882,26.94411,48.882,13.04545
49.041,25.9713,49.041,33.94107,49.041,26.94337,49.041,12.78788
49.201,25.9224,49.201,33.96964,49.201,27.07824,49.201,12.6995
49.361,26.3793,49.361,34.10714,49.361,26.91878,49.361,12.86111
49.521,26.3736,49.521,34.22857,49.521,27.04396,49.521,12.83586
49.68,26.181,49.68,34.05178,49.68,26.90536,49.68,12.98737
49.84,26.5086,49.84,34,49.84,26.92474,49.84,12.79293
50,26.25,50,34.12143,50,27.02682,50,12.89899
50.16,25.8534,50.16,33.99107,50.16,26.96051,50.16,12.89141
50.319,25.9483,50.319,34.21429,50.319,26.98659,50.319,12.83838
50.479,26.0776,50.479,33.94464,50.479,26.91729,50.479,12.82323
50.639,26.3563,50.639,34.2375,50.639,26.962,50.639,12.86869
50.799,26.0517,50.799,34.01786,50.799,26.76155,50.799,12.78283
50.958,26.1293,50.958,34.11071,50.958,26.88972,50.958,12.82828
51.118,26.1983,51.118,34.04464,51.118,26.90909,51.118,12.9697
51.278,26.181,51.278,33.87857,51.278,27.01118,51.278,12.82576
51.438,25.8592,51.438,34.15893,51.438,27.00671,51.438,12.73737
51.597,26.2557,51.597,33.98928,51.597,26.97318,51.597,12.76263
51.757,26.319,51.757,33.79643,51.757,26.8994,51.757,13.00253
51.917,26.1839,51.917,34.14286,51.917,26.8763,51.917,12.77273
52.077,26.0345,52.077,33.94822,52.077,27.08048,52.077,12.85354
52.236,25.9885,52.236,34.01607,52.236,27.04247,52.236,12.83333
52.396,26.2155,52.396,34.30714,52.396,26.84501,52.396,12.77778
52.556,26.3276,52.556,34.3875,52.556,26.83234,52.556,12.83081
52.715,26.0259,52.715,34.30893,52.715,26.88152,52.716,12.89899
52.875,26.1322,52.875,34.07679,52.875,27.00075,52.875,12.93434
53.035,26.0862,53.035,34.01786,53.035,26.94784,53.035,12.82828
53.195,26.1236,53.195,34.2875,53.195,27.19598,53.195,12.72475
53.354,26.3448,53.354,33.9,53.354,26.93219,53.355,12.85101
53.514,26.0805,53.514,33.95,53.514,27.01639,53.514,12.90909
53.674,25.9598,53.674,34.24821,53.674,26.93443,53.674,12.7904
53.834,26.1609,53.834,33.96964,53.834,26.8994,53.834,12.7803
53.993,26.5345,53.993,34.11607,53.993,27.05589,53.994,12.87374
54.153,25.9224,54.153,33.84286,54.153,27.00298,54.153,12.73737
54.313,26.3506,54.313,34.06964,54.313,27.00596,54.313,12.87374
54.473,25.8937,54.473,34.1625,54.473,27.02459,54.473,12.82576
54.632,26.1954,54.632,34.18571,54.632,26.98584,54.633,12.90152
54.792,26.2787,54.792,34.0125,54.792,27.05738,54.792,12.75
54.952,26.0891,54.952,34.24464,54.952,27.06334,54.952,12.90909
55.112,26.4368,55.112,34.22857,55.112,26.96051,55.112,12.74495
55.271,26.1408,55.271,33.96429,55.271,27.12891,55.271,12.71717
55.431,26.3075,55.431,33.96786,55.431,26.83308,55.431,12.87879
55.591,26.1322,55.591,33.86428,55.591,26.91505,55.591,12.59343
55.751,26.2126,55.751,34.03036,55.751,26.99255,55.751,12.68434
55.91,26.0632,55.91,34.08393,55.91,26.93145,55.91,12.76515
56.07,26.3448,56.07,34.04643,56.07,27.11401,56.07,12.81566
56.23,25.908,56.23,34.1375,56.23,26.97541,56.23,12.67677
56.39,26.2443,56.39,34.0625,56.39,27.01416,56.39,12.7399
56.549,26.1408,56.549,34.23036,56.549,27.16319,56.549,12.90152
56.709,26.2356,56.709,33.97321,56.709,27.11848,56.709,12.57071
56.869,26.0546,56.869,34.1,56.869,27.01639,56.869,12.82071
57.029,26.1322,57.029,34.05357,57.029,27.06408,57.029,12.72475
57.188,26.0287,57.188,33.84107,57.188,27.0149,57.188,12.81313
57.348,26.2184,57.348,34.18571,57.348,26.75112,57.348,12.80808
57.508,26.0374,57.508,34.22679,57.508,26.91803,57.508,12.55808
57.668,26.2874,57.668,33.86428,57.668,26.97914,57.668,12.94444
57.827,26.0805,57.827,33.87679,57.827,27.09911,57.827,12.7904
57.987,26.2759,57.987,33.91964,57.987,26.90984,57.987,13.01768
58.147,26.0805,58.147,34.10536,58.147,26.85842,58.147,12.69444
58.307,26.0489,58.307,34.02321,58.307,26.91133,58.307,13.00758
58.466,26.1897,58.466,33.68214,58.466,27.01192,58.466,12.85606
58.626,26.0517,58.626,33.97321,58.626,26.90909,58.626,12.76263
58.786,26.023,58.786,34.20357,58.786,26.88897,58.786,12.7803
58.946,26.2615,58.946,33.83393,58.946,26.98584,58.946,12.84848
59.105,26.2098,59.105,33.88036,59.105,26.98808,59.105,12.85354
59.265,25.9799,59.265,33.65357,59.265,26.93741,59.265,12.7298
59.425,26.2902,59.425,33.71786,59.425,26.91803,59.425,13.00758
59.584,25.842,59.584,33.68393,59.584,27.07302,59.585,13.13131
59.744,25.9713,59.744,33.83214,59.744,26.83159,59.744,13.09848
59.904,26.181,59.904,33.82143,59.904,26.99553,59.904,12.97222
60.064,26.1034,60.064,33.81429,60.064,26.8003,60.064,12.93939
60.223,26.2069,60.223,33.65357,60.223,27.06259,60.224,12.90909
60.383,25.9971,60.383,33.83036,60.383,27.08346,60.383,12.98485
60.543,26.0632,60.543,33.60893,60.543,26.97765,60.543,13.0101
60.703,26.3305,60.703,34.04821,60.703,27.04098,60.703,12.89394
60.862,25.9885,60.862,33.65179,60.862,27.03353,60.863,12.85606
61.022,26.0086,61.022,33.79643,61.022,27.01937,61.022,12.90152
61.182,26.1983,61.182,33.90179,61.182,27.00969,61.182,12.91162
61.342,25.8305,61.342,33.63572,61.342,27.03577,61.342,12.83333
61.501,26.3707,61.501,33.70179,61.501,26.90089,61.502,12.87626
61.661,25.977,61.661,34.0125,61.661,27.06408,61.661,12.91919
