X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
193.84,11795.371,193.84,7166.976,193.84,6721.304,193.84,8390.871,193.84,8184.897,193.84,8568.55,193.84,6576.165
194.786,11767.831,194.786,7191.214,194.786,6717.037,194.786,8420.833,194.786,8172.925,194.786,8514.644,194.786,6575.211
195.731,11889.4,195.731,7123.204,195.731,6782.799,195.731,8425.803,195.731,8391.552,195.731,8549.283,195.731,6585.339
196.677,11843.364,196.677,7206.573,196.677,6671.554,196.677,8479.81,196.677,8185.291,196.677,8390.555,196.677,6489.477
197.622,11745.845,197.622,7087.768,197.622,6621.419,197.622,8595.462,197.622,8158.11,197.622,8409.22,197.623,6559.73
198.568,11785.931,198.568,7190.279,198.568,6360.561,198.568,8539.697,198.568,8147.013,198.568,8374.246,198.568,6581.659
199.513,11634.242,199.513,7127.519,199.513,6757.368,199.513,8357.408,199.513,8214.931,199.513,8467.581,199.514,6549.445
200.459,11668.477,200.459,7159.403,200.459,6542.285,200.459,8287.845,200.459,8196.578,200.459,8451.032,200.459,6484.485
201.405,11761.983,201.405,7209.564,201.405,6747.977,201.405,8475.974,201.405,8230.256,201.405,8405.125,201.405,6591.606
202.35,11636.003,202.35,7218.132,202.35,6818.825,202.35,8563.215,202.35,8051.065,202.35,8310.685,202.35,6554.017
203.296,11947.83,203.296,7088.869,203.296,6747.404,203.296,8483.158,203.296,8175.601,203.296,8400.69,203.296,6556.423
204.241,11689.627,204.241,7125.569,204.241,6704.537,204.241,8577.428,204.241,8313.742,204.241,8385.355,204.242,6580.41
205.187,11916.198,205.187,7138.327,205.187,6613.328,205.187,8463.798,205.187,8174.906,205.187,8458.924,205.187,6517.466
206.132,11992.525,206.132,7130.533,206.132,6741.834,206.132,8570.125,206.132,8205.259,206.132,8259.786,206.133,6488.285
