X,Y,X,Y,X,Y,X,Y
309.199,14325.884,309.199,10963.31,309.199,17141.926,309.199,7687.545
310.144,14410.345,310.144,10753.47,310.144,17171.205,310.144,7348.843
311.09,14405.827,311.09,10642.107,311.09,16986.697,311.09,7604.686
312.035,14467.593,312.035,10729.004,312.035,17140.744,312.035,7592.057
312.981,14487.184,312.981,10727.665,312.981,17092.939,312.981,7484.86
313.926,14494.463,313.927,10627.22,313.927,17014.242,313.926,7518.88
314.872,14563.094,314.872,10643.125,314.872,16924.74,314.872,7437.978
315.818,14464.833,315.818,10620.381,315.818,17052.754,315.818,7444.799
316.763,14469.787,316.763,10777.43,316.763,17086.631,316.763,7503.357
317.709,14539.062,317.709,10634.055,317.709,17140.451,317.709,7496.598
318.654,14543.561,318.654,10806.889,318.654,16878.969,318.654,7568.086
319.6,14469.837,319.6,10742.657,319.6,16836.824,319.6,7362.456
320.545,14567.884,320.545,10606.721,320.545,16690.107,320.545,7390.632
321.491,14601.372,321.491,10621.312,321.491,16839.93,321.491,7457.728
322.436,14613.774,322.437,10675.318,322.437,16814.695,322.436,7313.165
323.382,14485.823,323.382,10671.885,323.382,17080.564,323.382,7434.935
324.328,14438.854,324.328,10627.129,324.328,16992.609,324.328,7474.03
325.273,14439.751,325.273,10741.759,325.273,16731.412,325.273,7668.305
326.219,14376.649,326.219,10731.923,326.219,16944.244,326.219,7564.589
327.164,14448.026,327.164,10782.264,327.164,17039.543,327.164,7565.596
328.11,14458.818,328.11,10658.224,328.11,16718.334,328.11,7502.179
329.055,14412.757,329.056,11010.983,329.056,16719.752,329.055,7556.056
330.001,14449.691,330.001,10630.221,330.001,16839.197,330.001,7504.38
330.947,14504.962,330.947,10872.7,330.947,16934.428,330.947,7471.54
331.892,14386.389,331.892,10742.277,331.892,16739.754,331.892,7474.129
332.838,14421.312,332.838,10638.45,332.838,16618.646,332.838,7255.711
333.783,14500.045,333.783,10759.385,333.783,16807.139,333.783,7548.843
334.729,14374.113,334.729,10748.326,334.729,16527.211,334.729,7380.008
335.674,14556.817,335.674,10750.022,335.674,16804.848,335.674,7659.517
336.62,14491.747,336.62,10799.524,336.62,16777.814,336.62,7322.868
337.565,14431.123,337.566,10730.96,337.566,16712.779,337.565,7471.406
338.511,14269.615,338.511,10795.042,338.511,16659.178,338.511,7496.08
339.457,14389.779,339.457,10737.377,339.457,16678.43,339.457,7441.799
340.402,14338.026,340.402,11891.798,340.402,16698.334,340.402,7534.513
341.348,14385.143,341.348,10604.998,341.348,16590.285,341.348,7341.44
342.293,14364.544,342.293,10791.72,342.293,16662.047,342.293,7248.788
343.239,14205.576,343.239,11016.733,343.239,16497.176,343.239,7305.945
344.184,14208.206,344.185,11139.055,344.185,16809.148,344.184,7342.315
345.13,14351.234,345.13,11067.441,345.13,16725.152,345.13,7427.665
346.076,14406.399,346.076,10945.399,346.076,16709.461,346.076,7326.623
347.021,14313.179,347.021,11262.155,347.021,16819.113,347.021,7401.558
347.967,14177.581,347.967,11241.285,347.967,16780.551,347.967,7316.705
348.912,14284.106,348.912,11114.398,348.912,16676.484,348.912,7193.829
349.858,14297.664,349.858,11285.603,349.858,16688.02,349.858,7343.537
350.803,14131.21,350.803,11354.769,350.803,16692.854,350.803,7319.301
351.749,14281.016,351.749,11162.008,351.749,17115.486,351.749,7365.855
352.694,14205.434,352.695,11402.613,352.695,17205.359,352.694,7212.029
353.64,14258.79,353.64,11070.684,353.64,17334.465,353.64,7144.208
354.586,14312.604,354.586,11182.157,354.586,17403.256,354.586,7296.005
355.531,14232.234,355.531,11033.141,355.531,17420.016,355.531,7258.144
356.477,14282.998,356.477,11222.723,356.477,17457.066,356.477,7066.539
357.422,14159.947,357.422,11151.155,357.422,17289.203,357.422,7285.332
358.368,14137.979,358.368,11092.776,358.368,17190.531,358.368,7147.314
359.313,14266.602,359.314,11331.839,359.314,17314.324,359.313,7309.083
360.259,14160.766,360.259,11343.94,360.259,17448.822,360.259,7302.224
361.205,14331.905,361.205,11218.02,361.205,17293.926,361.205,7138.229
362.15,14163.531,362.15,11216.357,362.15,17356.135,362.15,7243.52
363.096,14079.077,363.096,11085.245,363.096,17536.445,363.096,7194.443
364.041,14324.392,364.041,11178.574,364.041,17206.658,364.041,7286.044
