X,Y,X,Y,X,Y,X,Y,X,Y
218.425,14153.29,218.425,7188.77,218.425,5620.453,218.425,5056.497,218.425,4704.224
219.37,14027.187,219.37,7204.122,219.37,5603.68,219.37,5097.029,219.37,4725.764
220.316,14157.142,220.316,7354.43,220.316,5584.328,220.316,5043.827,220.316,4725.633
221.261,14067.944,221.261,7085.276,221.261,5577.863,221.261,5143.949,221.261,4696.235
222.207,14054.021,222.207,7296.209,222.207,5569.793,222.207,5102.776,222.207,4713.496
223.153,14004.665,223.153,7071.116,223.153,5598.679,223.153,5025.303,223.153,4716.552
224.098,13927.566,224.098,7028.449,224.098,5554.619,224.098,5089.765,224.098,4690.903
225.044,13784.846,225.044,7116.045,225.044,5569.945,225.044,5095.92,225.044,4706.947
225.989,14042.646,225.989,7301.564,225.989,5554.182,225.989,5118.348,225.989,4678.319
226.935,14031.452,226.935,7384.283,226.935,5576.035,226.935,5039.562,226.935,4706.85
227.88,13682.833,227.88,8413.002,227.88,5579.122,227.88,5069.245,227.88,4684.569
228.826,13807.983,228.826,8754.852,228.826,5566.982,228.826,5125.881,228.826,4691.807
229.771,13808.321,229.771,10713.796,229.771,5552.014,229.771,5059.005,229.771,4671.936
230.717,13745.739,230.717,17251.984,230.717,5542.248,230.717,5108.421,230.717,4662.218
231.663,13725.248,231.663,24381.244,231.663,5561.075,231.663,5076.058,231.663,4698.645
232.608,13743.103,232.608,31268.244,232.608,5587.413,232.608,5044.691,232.608,4728.152
233.554,13609.976,233.554,40778.09,233.554,5597.388,233.554,5113.917,233.554,4710.623
234.499,13492.524,234.499,42484,234.499,5521.465,234.499,5129.542,234.499,4713.61
235.445,13708.644,235.445,42760.512,235.445,5512.508,235.445,5103.518,235.445,4734.48
236.39,13653.492,236.39,41625.535,236.39,5531.753,236.39,5138.663,236.39,4741.318
237.336,13604.437,237.336,40353.211,237.336,5532.462,237.336,5101.541,237.336,4755.106
238.282,13725.626,238.282,39106.184,238.282,5564.863,238.282,5005.676,238.282,4743.096
239.227,13537.459,239.227,37486.234,239.227,5561.097,239.227,5064.803,239.227,4780.084
240.173,13674.94,240.173,36851.102,240.173,5561.049,240.173,5042.384,240.173,4741.485
241.118,13648.699,241.118,35801.031,241.118,5557.947,241.118,5084.562,241.118,4708.069
242.064,13598.141,242.064,35288.438,242.064,5550.525,242.064,5056.742,242.064,4755.751
243.009,13475.731,243.009,33926.379,243.009,5549.312,243.009,5063.133,243.009,4748.554
