[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean,[sec],Mean
46.965,6.99595,46.965,6.416,46.965,7.18371,46.965,16.66296,46.965,5.71071
47.124,7.06478,47.124,6.434,47.124,7.39394,47.124,16.54074,47.124,5.65
47.284,7.03644,47.284,6.356,47.284,7.3125,47.284,16.51296,47.284,5.65179
47.444,7.08502,47.444,6.376,47.444,7.14962,47.444,16.53148,47.444,5.65179
47.604,7.14575,47.604,6.386,47.604,7.29167,47.604,16.47037,47.604,5.63393
47.763,6.83806,47.763,6.476,47.763,7.32008,47.763,16.58148,47.763,5.67143
47.923,7.02024,47.923,6.436,47.923,7.17614,47.923,16.41111,47.923,5.70357
48.083,6.91903,48.083,6.34,48.083,7.3125,48.083,16.45,48.083,5.69643
48.243,7.04049,48.243,6.436,48.243,7.18939,48.243,16.54815,48.243,5.64643
48.402,7,48.402,6.456,48.402,7.36174,48.402,16.55926,48.402,5.625
48.562,7.1336,48.562,6.41,48.562,7.22538,48.562,16.59074,48.562,5.80536
48.722,6.92713,48.722,6.376,48.722,7.29545,48.722,16.51481,48.722,5.65536
48.882,7.02429,48.882,6.342,48.882,7.19697,48.882,16.58519,48.882,5.7
49.041,7.07692,49.041,6.452,49.041,7.26705,49.041,16.46111,49.041,5.77321
49.201,7.05668,49.201,6.422,49.201,7.2197,49.201,16.58148,49.201,5.64107
49.361,6.99595,49.361,6.422,49.361,7.21023,49.361,16.66481,49.361,5.63571
49.521,6.97976,49.521,6.378,49.521,7.3447,49.521,16.43704,49.521,5.65893
49.68,7.14575,49.68,6.346,49.68,7.25379,49.68,16.44259,49.68,5.775
49.84,7.06478,49.84,6.346,49.84,7.2178,49.84,16.37037,49.84,5.70536
50,6.82186,50,6.482,50,7.25,50,16.51296,50,5.64286
50.16,7.18623,50.16,6.5,50.16,7.26894,50.16,16.65741,50.16,5.83929
