Mean,Mean,Mean,Mean
43.3494,39.2058,36.2912,46.6292
42.9688,39.6508,36.4106,46.8994
43.5446,39.7129,36.5847,46.9215
43.9808,39.8854,37.9979,47.237
43.8452,39.8717,38.8355,47.0165
43.3598,40.6754,39.1254,47.3247
43.6165,40.8223,40.0352,46.7743
43.6033,41.6111,39.8475,47.6594
42.8353,41.4534,40.3611,47.0656
43.4072,42.5811,41.1841,46.617
43.0183,42.867,41.3243,47.2704
44.0582,43.5839,41.9276,46.9278
43.5055,44.2624,42.4269,47.0736
43.5492,45.0249,42.2325,46.5601
43.0647,46.2811,42.3779,46.7037
43.1548,46.5901,42.701,47.1178
42.9572,47.5723,42.674,47.4459
42.6691,48.2633,42.7817,47.0562
43.1078,49.202,42.4194,46.8261
43.6287,49.4807,42.2228,47.0843
43.4585,50.703,42.2885,47.0965
42.9882,50.8087,41.9688,47.1137
42.8036,51.3206,42.6617,46.763
43.2735,52.2112,41.6632,46.537
43.2355,52.548,42.2995,47.0551
43.3201,53.055,41.8069,46.8545
43.7326,53.9456,41.742,46.297
43.8958,53.5908,41.3884,46.9007
42.9394,53.9071,41.1106,46.4357
44.0689,54.3854,41.3345,46.6757
42.8952,54.6242,41.4037,46.6044
43.3339,54.9675,41.3722,46.7291
42.8677,54.966,41.1143,46.8796
42.8846,55.3256,40.725,46.3538
43.3283,55.2629,40.6543,46.6866
43.4083,55.5307,41.0143,46.192
43.3588,55.3925,40.8194,46.8439
43.0401,55.7393,40.6404,46.5001
43.0029,55.6964,41.2235,46.5325
42.677,55.561,40.8744,45.9922
43.8635,56.2656,40.4794,45.8342
42.8995,55.3833,41.0482,46.2394
43.5038,55.664,40.3015,46.2074
43.2947,56.0781,40.3262,45.8007
43.178,56.0525,39.8809,46.4485
43.347,56.3855,39.6043,46.3221
43.3615,56.625,39.8125,46.5102
43.063,55.9545,39.8623,46.3197
43.2749,55.9986,40.1197,46.1238
43.0095,56.296,39.8463,46.6176
42.8981,56.5347,40.0766,46.1461
43.4765,56.1237,39.8401,46.2287
43.0776,56.2475,39.4883,46.2434
43.2683,56.0463,39.5848,46.4744
43.3142,55.8014,39.6728,46.2288
42.7042,56.1122,39.3465,46.4853
43.2254,56.0095,38.9338,46.3528
43.0848,55.7271,39.4629,45.9422
42.5567,55.8849,39.6259,46.8571
42.9536,56.0895,39.5619,45.87
42.9828,56.3774,39.1525,46.1361
42.1337,56.0957,39.0317,46.368
43.1006,55.8541,39.8316,45.6584
43.049,55.4923,39.0513,46.415
42.7642,56.15,39.4846,46.3601
42.6221,55.871,39.3971,46.1212
42.6079,56.0901,39.315,46.5454
,55.6797,39.4341,46.2825
,55.549,39.425,46.0989
,55.9337,38.6615,45.7779
,55.7343,39.1634,46.1688
,55.5505,38.653,46.1587
,55.811,38.9984,46.1851
,55.7371,39.1205,45.9951
,55.2493,38.9214,45.6745
,55.6407,38.1275,46.3267
,55.5867,38.4311,46.0141
,55.5192,38.9805,45.7972
,55.3621,38.9074,46.0708
,55.0969,38.2642,45.724
,55.0091,38.1596,45.9063
,54.8044,38.3574,46.3644
,55.6446,38.6538,46.0464
,55.2424,38.2409,45.8721
,55.0621,38.8093,46.1499
,54.945,38.7876,46.0036
,54.8422,38.9883,46.1385
,54.7302,38.4908,45.8228
,54.8332,38.3249,45.9292
,55.1288,38.1781,45.2355
,54.2622,38.7196,45.9704
,54.5152,38.6976,46.0055
,54.5242,38.3447,45.6061
,54.3059,38.3571,45.503
,54.6424,38.4781,45.5352
,54.6145,38.5787,46.0629
,54.4591,38.4185,45.8865
,54.0247,38.4975,45.6892
,54.2721,38.5631,45.2997
,54.6667,37.829,46.4866
,54.8007,38.279,45.66
,53.9454,38.2846,45.4843
,54.4813,37.5659,45.6522
,54.3457,37.8215,45.0734
,54.4284,37.4581,45.5996
,53.9307,37.6627,45.7968
,54.1095,37.3746,45.3294
,54.2425,37.6735,45.4874
,54.0949,37.6698,45.185
,54.292,37.4042,45.4148
,54.2055,37.2787,45.7111
,53.8016,37.6718,45.3793
,53.9571,37.1157,45.2884
,53.7564,37.2569,45.2769
,53.6454,37.3164,45.8723
,53.3907,36.7552,45.955
,54.6566,37.8682,45.9946
,53.56,37.2766,45.5992
,52.9421,37.2971,45.4634
,54.0534,36.7054,45.7207
,54.0083,37.2988,45.9826
,53.322,37.4289,45.3624
,53.5943,36.9566,45.6968
,53.7018,36.7375,45.4955
,53.1459,36.7863,45.1247
,53.334,36.7343,45.3333
,53.4399,36.1421,45.5068
,53.5705,36.3258,45.4579
,54.123,36.7871,44.8257
,53.391,36.9033,44.9612
,53.2634,36.6256,45.454
,53.6174,36.5882,45.1282
,53.2304,36.5352,44.8316
,52.951,36.3753,45.2218
,53.3405,36.4572,45.6274
,52.4447,36.565,45.6528
,53.4411,36.5885,45
,53.2329,36.4035,45.5279
,53.5092,36.5872,44.7374
,53.1625,36.7607,44.765
,53.3229,36.7407,44.6475
,53.3915,36.7649,45.1141
,53.4722,36.4447,44.6879
,53.6566,36.5737,44.5768
,53.7325,36.0877,44.6418
,53.2892,36.8539,45.3668
,52.6895,36.4097,45.3084
,53.3327,36.714,44.4194
,52.5485,36.7974,45.1836
,52.8221,36.7688,45.0143
,52.8206,35.9228,45.1236
,52.365,36.6304,44.9145
,52.5191,36.8267,44.8514
,52.9453,35.9417,44.9108
,52.4955,36.3097,44.9977
,52.623,35.895,44.8472
,52.6287,35.9199,44.1325
,52.6572,36.1842,44.9058
,52.9754,35.6282,44.8939
,52.6533,36.5554,44.5433
,52.785,35.7645,44.6393
,52.629,35.7067,45.1099
,52.3026,36.3083,44.8901
,52.313,35.3333,44.3129
,52.8747,35.2055,44.7226
,52.6707,35.5736,44.7331
,52.239,35.4583,44.2765
,51.7119,35.3378,44.7713
,52.1003,36.1525,44.3196
,52.4295,35.8685,44.6112
,52.6661,35.996,44.5506
,52.2878,35.7166,44.9061
,52.5232,35.2108,44.7229
,52.5287,35.2438,44.3823
,52.2549,35.2839,44.6122
,52.1136,35.5134,44.5953
,52.3308,35.5133,44.3249
,52.0406,35.5548,44.0828
,52.0119,35.0385,44.5316
,52.4672,35.4832,44.0762
,52.137,36.0981,44.5048
,51.8114,35.6391,44.2304
,52.1643,35.1746,44.4153
,51.796,35.5528,44.7056
,51.9825,35.4948,44.726
,51.9491,35.0203,44.864
,51.439,35.0809,44.2959
,51.7853,35.0849,44.5836
,51.5188,34.9842,44.6415
,51.2431,35.0924,44.4959
